 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         1 …tiveSolvers/src/cg.jl     ? iterate(it::IterativeSolvers.PCGI…
     1         1 …solvers/DHCPSolver.jl   288 assemble_dhcp_matrix(ni::Int64, n…
     1         0 …s/src/sparsematrix.jl  1169 sparse!(I::Vector{Int64}, J::Vect…
     1         0 …arAlgebra/src/blas.jl   436 nrm2
     1         0 …arAlgebra/src/blas.jl   180 vec_pointer_stride
     1         0 @Base/abstractarray.jl  1229 pointer
     1         1 @Base/pointer.jl          65 cconvert
     1         1 …arAlgebra/src/blas.jl   427 nrm2(n::Int64, X::Ptr{Float64}, i…
     1         0 …eArrays/src/linalg.jl    88 _spmatmul!(C::Vector{Float64}, A:…
     1         0 @Base/bool.jl            182 *
     1         0 @Base/bool.jl            180 *
     1         0 …/ThermalProperties.jl    87 thermal_properties_calculator(Tem…
     1         0 …vers/AdjointSolver.jl   377 solve_adjoint!(T_cal::Array{Float…
     1         1 @Base/abstractarray.jl     ? getindex
     1         1 …eArrays/src/linalg.jl    76 _spmatmul!(C::Vector{Float64}, A:…
     1         1 @Base/abstractarray.jl  1208 iterate
     1         1 @Base/bitarray.jl         39 BitArray
     1         1 @Base/int.jl             372 |
     1         1 …e/multidimensional.jl   924 _unsafe_getindex(::IndexLinear, :…
     1         1 @Base/abstractarray.jl  1561 dataids
     1         0 …tiveSolvers/src/cg.jl   231 cg!(x::Vector{Float64}, A::Sparse…
     1         0 …olvers/src/history.jl   212 nextiter!
     1         0 …olvers/src/history.jl   213 #nextiter!#2
     1         0 …vers/AdjointSolver.jl   388 solve_adjoint!(T_cal::Array{Float…
     1         0 …tiveSolvers/src/cg.jl   221 cg!(x::Vector{Float64}, A::Sparse…
     1         0 …olvers/src/history.jl   169 reserve!(ch::IterativeSolvers.Con…
     1         0 …olvers/src/history.jl   172 reserve!
     1         0 …olvers/src/history.jl   182 _reserve!
     1         0 …gebra/src/diagonal.jl   488 ldiv!(B::Vector{Float64}, D::Line…
     1         0 …solvers/DHCPSolver.jl   163 build_dhcp_system!(T_initial::Sub…
     1         0 …s/src/sparsematrix.jl  1248 sparse!(I::Vector{Int64}, J::Vect…
     1         0 …/ThermalProperties.jl    88 thermal_properties_calculator(Tem…
     1         1 …vers/AdjointSolver.jl   304 assemble_adjoint_matrix(ni::Int64…
     1         0 @Base/array.jl          1133 (::Base.var"#133#134"{Vector{Int6…
     1         0 @Base/genericmemory.jl   115 unsafe_copyto!
     1         1 @Base/boot.jl            524 memoryref
     1         1 …vers/AdjointSolver.jl     ? build_adjoint_system!(λ_initial::…
     1         0 …vers/AdjointSolver.jl   113 build_adjoint_system!(λ_initial::…
     1         0 @Base/bitarray.jl         37 BitArray
     1         0 @Base/boot.jl            897 UInt64
     1         1 @Base/boot.jl            874 toUInt64
     1         0 …solvers/DHCPSolver.jl   199 build_dhcp_system!(T_initial::Sub…
     1         0 …s/src/sparsematrix.jl  1086 sparse(I::Vector{Int64}, J::Vecto…
     1         1 @Base/array.jl          2351 findnext
     1         0 …gebra/src/diagonal.jl   486 ldiv!(B::Vector{Float64}, D::Line…
     1         1 @Base/array.jl           191 size
     1         1 …gebra/src/diagonal.jl     ? ldiv!(B::Vector{Float64}, D::Line…
     1         0 …solvers/DHCPSolver.jl   307 assemble_dhcp_matrix(ni::Int64, n…
     1         0 …s/src/sparsematrix.jl  1222 sparse!(I::Vector{Int64}, J::Vect…
     1         0 …solvers/DHCPSolver.jl   382 solve_dhcp!(T_initial::Array{Floa…
     1         1 @Base/simdloop.jl         72 macro expansion
     1         0 @Base/Base.jl             56 dotgetproperty
     1         0 …olvers/src/history.jl   136 push!(ch::IterativeSolvers.Conver…
     1         0 …olvers/src/history.jl   139 push_custom_data!(ch::IterativeSo…
     1         0 @Base/dict.jl            476 getindex(h::Dict{Symbol, Any}, ke…
     1         1 @Base/dict.jl              ? ht_keyindex
     1         1 …lgebra/src/generic.jl     ? norm(itr::Vector{Float64}, p::Int…
     1         1 …solvers/DHCPSolver.jl     ? build_dhcp_system!(T_initial::Sub…
     1         0 …eArrays/src/linalg.jl    77 _spmatmul!(C::Vector{Float64}, A:…
     1         0 …/solvers/CGMSolver.jl   355 solve_cgm!(T_init::Array{Float64,…
     1         0 @Base/abstractarray.jl  3064 _sub2ind
     1         0 @Base/abstractarray.jl  3080 _sub2ind_recurse
     1         0 …s/src/sparsematrix.jl  1252 sparse!(I::Vector{Int64}, J::Vect…
     1         0 …vers/AdjointSolver.jl   298 assemble_adjoint_matrix(ni::Int64…
     1         0 …vers/AdjointSolver.jl   265 assemble_adjoint_matrix(ni::Int64…
     1         1 @Base/range.jl             ? build_dhcp_system!(T_initial::Sub…
     1         1 …solvers/DHCPSolver.jl   274 assemble_dhcp_matrix(ni::Int64, n…
     1         1 @Base/abstractarray.jl     ? dataids
     1         0 …/solvers/CGMSolver.jl   352 solve_cgm!(T_init::Array{Float64,…
     1         0 …/solvers/CGMSolver.jl    59 tensor_dot(a::Array{Float64, 3}, …
     1         0 …e/multidimensional.jl   704 setindex!
     1         0 …tiveSolvers/src/cg.jl   239 cg!(x::Vector{Float64}, A::Sparse…
     1         1 …olvers/src/history.jl   197 shrink!(ch::IterativeSolvers.Conv…
     1         0 @Base/array.jl           854 collect_to!(dest::Vector{Float64}…
     1         1 …tiveSolvers/src/cg.jl    72 iterate(it::IterativeSolvers.PCGI…
     1         1 …/ThermalProperties.jl     ? polyval_numba
     1         1 …s/src/sparsevector.jl     ? _spgetindex
     1         0 …vers/AdjointSolver.jl   142 build_adjoint_system!(λ_initial::…
