 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         0 @Base/broadcast.jl      1007 copyto!
     1         0 @Base/broadcast.jl      1009 macro expansion
     1         1 @Base/int.jl              87 +
     1         0 …lvers/CommonSolver.jl   209 macro expansion
     1         0 …lvers/CommonSolver.jl    58 PBiCGSTAB!(wk::WorkBuffers, Δh::T…
     1         0 @Base/coreio.jl            4 println(::String, ::Float64)
     1         1 @Base/strings/io.jl       75 println(::Base.PipeEndpoint, ::St…
     1         0 …lvers/CommonSolver.jl   194 macro expansion
     1         0 @Base/float.jl           530 rem_internal(x::Float64, y::Float…
     1         0 …lvers/CommonSolver.jl   101 PBiCGSTAB!(wk::WorkBuffers, Δh::T…
     1         0 @Base/broadcast.jl       993 copyto!
     1         0 @Base/broadcast.jl       994 macro expansion
     1         1 @Base/int.jl             372 |
     1         1 @FLoops/src/reduce.jl    818 ##reducing_function#281#27
     1         1 @Base/Base.jl             49 getproperty
     1         1 @Base/float.jl           532 rem_internal(x::Float64, y::Float…
     1         0 @Base/math.jl           1225 pow_body(x::Float64, n::Int64)
     1         1 @Base/essentials.jl      796 ifelse
     1         0 …lvers/CommonSolver.jl    92 PBiCGSTAB!(wk::WorkBuffers, Δh::T…
     1         0 @Base/math.jl           1224 pow_body(x::Float64, n::Int64)
     1         0 …lvers/CommonSolver.jl   189 macro expansion
     1         0 …lvers/CommonSolver.jl   188 macro expansion
     1         1 …lvers/CommonSolver.jl   103 PBiCGSTAB!(wk::WorkBuffers, Δh::T…
     1         0 …lvers/CommonSolver.jl   190 macro expansion
     1         1 @FLoops/src/reduce.jl    799 macro expansion
     1         0 @FLoops/src/reduce.jl    817 ##reducing_function#371#34
     1         0 …solvers/DHCPSolver.jl   159 macro expansion
     1         0 …lvers/CommonSolver.jl   197 macro expansion
     1         0 …lvers/CommonSolver.jl   199 macro expansion
     2         0 …solvers/DHCPSolver.jl   273 solve_dhcp!(T_initial::Array{Floa…
     2         0 @Base/broadcast.jl       872 materialize
     2         0 @Base/broadcast.jl       897 copy
     2         0 @Base/broadcast.jl       925 copyto!
     2         0 @Base/simdloop.jl         77 macro expansion
     2         0 @Base/floatfuncs.jl       50 round
     2         2 @Base/float.jl           465 round
     2         0 …solvers/DHCPSolver.jl   158 calRHS!(wk::WorkBuffers, HF::Vect…
     2         2 @FLoops/src/reduce.jl    818 ##reducing_function#248#11
     2         2 @Base/math.jl              ? set_properties!(Temperature::SubA…
     2         0 …lvers/CommonSolver.jl   203 macro expansion
     2         0 @Base/operators.jl       555 afoldl
     2         2 @Base/math.jl              ? pow_body(x::Float64, n::Int64)
     3         0 @Base/float.jl           531 rem_internal(x::Float64, y::Float…
     3         0 …lvers/CommonSolver.jl   102 PBiCGSTAB!(wk::WorkBuffers, Δh::T…
     3         0 @Base/operators.jl       553 afoldl
     3         3 @FLoops/src/reduce.jl    818 ##reducing_function#293#35
     3         0 …lvers/CommonSolver.jl   264 macro expansion
     3         0 …lvers/CommonSolver.jl    90 PBiCGSTAB!(wk::WorkBuffers, Δh::T…
     3         0 …lvers/CommonSolver.jl    84 PBiCGSTAB!(wk::WorkBuffers, Δh::T…
     4         0 @Base/float.jl            97 reinterpret
     4         4 @Base/essentials.jl      730 reinterpret
     4         0 …lvers/CommonSolver.jl   262 macro expansion
     4         0 …lvers/CommonSolver.jl    88 PBiCGSTAB!(wk::WorkBuffers, Δh::T…
     4         0 …lvers/CommonSolver.jl   267 macro expansion
     4         0 …lvers/CommonSolver.jl   409 Triad!(z::Array{Float64, 3}, x::A…
     4         0 @FLoops/src/reduce.jl    817 ##reducing_function#287#31
     4         0 …lvers/CommonSolver.jl   410 macro expansion
     4         0 …/ThermalProperties.jl    95 set_properties!(Temperature::SubA…
     4         0 @Base/math.jl           1199 ^
     4         0 …lvers/CommonSolver.jl   136 myfill!(a::Array{Float64, 3}, val…
