 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         0 …lidingWindowSolver.jl   196 solve_sliding_window_cgm(Y_obs::A…
     1         1 @Base/abstractarray.jl  1309 getindex(::Array{Float64, 3}, ::U…
     1         0 …solvers/DHCPSolver.jl   381 solve_dhcp!(T_initial::Array{Floa…
     1         0 @Base/array.jl           791 collect(itr::Base.Generator{Spars…
     1         0 @Base/abstractarray.jl  1207 iterate
     1         0 @Base/operators.jl       596 +
     1         0 @Base/operators.jl       556 afoldl
     1         1 @Base/Base.jl              ? push!
     1         0 @Base/broadcast.jl      1002 macro expansion
     1         0 …/ThermalProperties.jl   102 thermal_properties_calculator(Tem…
     1         0 …vers/AdjointSolver.jl   277 assemble_adjoint_matrix(ni::Int64…
     1         0 …s/src/sparsematrix.jl   152 sparse_check
     1         0 …s/src/sparsematrix.jl  1183 sparse!(I::Vector{Int64}, J::Vect…
     1         0 …vers/AdjointSolver.jl   150 build_adjoint_system!(λ_initial::…
     1         1 @Base/abstractarray.jl     ? dataids
     1         0 @Base/broadcast.jl       984 copyto!
     1         0 @Base/abstractarray.jl  1560 dataids
     1         1 @Base/reflection.jl      741 objectid
     1         0 …tiveSolvers/src/cg.jl    82 iterate(it::IterativeSolvers.PCGI…
     1         0 …vers/AdjointSolver.jl   119 build_adjoint_system!(λ_initial::…
     1         0 …s/src/sparsematrix.jl  4283 diag(A::SparseArrays.SparseMatrix…
     1         0 …vers/AdjointSolver.jl   165 build_adjoint_system!(λ_initial::…
     1         1 …vers/AdjointSolver.jl   164 build_adjoint_system!(λ_initial::…
     1         1 …lgebra/src/generic.jl   601 norm(itr::Vector{Float64}, p::Int…
     1         0 …s/src/sparsematrix.jl  1186 sparse!(I::Vector{Int64}, J::Vect…
     1         0 …/solvers/CGMSolver.jl   329 solve_cgm!(T_init::Array{Float64,…
     1         0 …/solvers/CGMSolver.jl    59 tensor_dot(a::Array{Float64, 3}, …
     1         1 @Base/simdloop.jl          ? macro expansion
     1         0 …solvers/DHCPSolver.jl   203 build_dhcp_system!(T_initial::Arr…
     1         1 @Base/iterators.jl       207 iterate
     1         1 @Base/essentials.jl        ? sparse!(I::Vector{Int64}, J::Vect…
     1         1 …solvers/DHCPSolver.jl   302 assemble_dhcp_matrix(ni::Int64, n…
     1         1 @Base/dict.jl            477 getindex(h::Dict{Symbol, Any}, ke…
     1         0 …vers/AdjointSolver.jl   116 build_adjoint_system!(λ_initial::…
     1         0 …vers/AdjointSolver.jl   291 assemble_adjoint_matrix(ni::Int64…
     1         1 …solvers/DHCPSolver.jl   281 assemble_dhcp_matrix(ni::Int64, n…
     1         0 …eArrays/src/linalg.jl    87 _spmatmul!(C::Vector{Float64}, A:…
     1         0 @Base/operators.jl       426 >=
     1         1 @Base/int.jl             514 <=
     1         0 @Base/simdloop.jl         84 macro expansion
     1         0 …e/multidimensional.jl   422 iterate
     1         1 …e/multidimensional.jl   446 __inc
     1         0 …vers/AdjointSolver.jl   174 build_adjoint_system!(λ_initial::…
     1         1 …gebra/src/diagonal.jl     ? ldiv!(B::Vector{Float64}, D::Line…
     1         0 …solvers/DHCPSolver.jl   169 build_dhcp_system!(T_initial::Arr…
     1         0 …solvers/DHCPSolver.jl   118 build_dhcp_system!(T_initial::Arr…
     1         0 …solvers/DHCPSolver.jl   147 build_dhcp_system!(T_initial::Arr…
     1         1 @Base/array.jl          1116 (::Base.var"#133#134"{Vector{Floa…
     1         0 …vers/AdjointSolver.jl   157 build_adjoint_system!(λ_initial::…
     1         1 @Base/array.jl          2351 findnext
     1         1 …solvers/DHCPSolver.jl   168 build_dhcp_system!(T_initial::Arr…
     1         1 …vers/AdjointSolver.jl     ? build_adjoint_system!(λ_initial::…
     1         0 @Base/broadcast.jl       223 similar
     1         0 @Base/broadcast.jl       226 similar
     1         0 @Base/bitarray.jl         71 BitArray
     1         0 @Base/bitarray.jl         37 BitArray
     1         1 …eArrays/src/linalg.jl    76 _spmatmul!(C::Vector{Float64}, A:…
     1         0 …vers/AdjointSolver.jl   200 build_adjoint_system!(λ_initial::…
     1         1 …/ThermalProperties.jl    79 thermal_properties_calculator(Tem…
     1         0 …vers/AdjointSolver.jl   158 build_adjoint_system!(λ_initial::…
     1         1 …vers/AdjointSolver.jl   432 solve_adjoint!(T_cal::Array{Float…
     1         0 …vers/AdjointSolver.jl   382 solve_adjoint!(T_cal::Array{Float…
     1         0 @Base/broadcast.jl       933 copyto!
     1         0 …e/multidimensional.jl  1144 fill!
     1         0 @Base/subarray.jl        378 setindex!
     2         0 …vers/AdjointSolver.jl   173 build_adjoint_system!(λ_initial::…
     2         0 …solvers/DHCPSolver.jl   148 build_dhcp_system!(T_initial::Arr…
     2         2 @Base/array.jl             ? assemble_adjoint_matrix(ni::Int64…
     2         0 …s/src/sparsematrix.jl  1222 sparse!(I::Vector{Int64}, J::Vect…
     2         0 @Base/boot.jl            592 Array
     2         0 @Base/boot.jl            582 Array
     2         0 …vers/AdjointSolver.jl   298 assemble_adjoint_matrix(ni::Int64…
     2         0 …vers/AdjointSolver.jl   265 assemble_adjoint_matrix(ni::Int64…
     2         2 …tiveSolvers/src/cg.jl    72 iterate(it::IterativeSolvers.PCGI…
     2         2 …solvers/DHCPSolver.jl   198 build_dhcp_system!(T_initial::Arr…
     2         0 @Base/broadcast.jl       956 preprocess_args
     2         0 …s/src/sparsematrix.jl  1231 sparse!(I::Vector{Int64}, J::Vect…
     2         0 …solvers/DHCPSolver.jl   163 build_dhcp_system!(T_initial::Arr…
     2         0 …tiveSolvers/src/cg.jl    90 iterate(it::IterativeSolvers.PCGI…
     2         2 @Base/math.jl              ? thermal_properties_calculator(Tem…
     2         0 …vers/AdjointSolver.jl   142 build_adjoint_system!(λ_initial::…
     2         0 …vers/AdjointSolver.jl   181 build_adjoint_system!(λ_initial::…
     2         0 …lgebra/src/generic.jl   604 norm(itr::Vector{Float64}, p::Int…
     2         0 …rAlgebra/src/dense.jl   106 norm2
     2         0 …arAlgebra/src/blas.jl   437 nrm2
     2         2 …arAlgebra/src/blas.jl   428 nrm2(n::Int64, X::Ptr{Float64}, i…
     2         0 @Base/range.jl             5 Colon
     2         0 @Base/range.jl           408 UnitRange
     2         1 @Base/range.jl           419 unitrange_last
     2         0 @Base/array.jl          1110 _growend!
     2         2 @Base/abstractarray.jl  1561 dataids
     2         0 …vers/AdjointSolver.jl   141 build_adjoint_system!(λ_initial::…
     2         0 …vers/AdjointSolver.jl   306 assemble_adjoint_matrix(ni::Int64…
     2         0 …vers/AdjointSolver.jl   309 assemble_adjoint_matrix(ni::Int64…
     2         0 …/solvers/CGMSolver.jl   350 solve_cgm!(T_init::Array{Float64,…
     2         2 …lgebra/src/generic.jl     ? norm(itr::Vector{Float64}, p::Int…
     2         2 …s/src/sparsematrix.jl     ? diag(A::SparseArrays.SparseMatrix…
     2         2 @Base/essentials.jl        ? getindex
     2         0 …s/src/sparsematrix.jl  1272 sparse!(I::Vector{Int64}, J::Vect…
     3         0 @Base/array.jl          1114 _growend!
     3         3 …solvers/DHCPSolver.jl     ? solve_dhcp!(T_initial::Array{Floa…
     3         0 …vers/AdjointSolver.jl   278 assemble_adjoint_matrix(ni::Int64…
     3         3 @Base/abstractarray.jl     ? checkbounds
     3         3 …s/src/sparsematrix.jl  4290 diag(A::SparseArrays.SparseMatrix…
     3         0 …eArrays/src/linalg.jl    88 _spmatmul!(C::Vector{Float64}, A:…
     3         0 @Base/bool.jl            182 *
     3         0 @Base/bool.jl            180 *
     3         0 …tiveSolvers/src/cg.jl   239 cg!(x::Vector{Float64}, A::Sparse…
     3         3 …olvers/src/history.jl   197 shrink!(ch::IterativeSolvers.Conv…
     3         0 …s/src/sparsematrix.jl  1185 sparse!(I::Vector{Int64}, J::Vect…
     3         0 @Base/abstractarray.jl  1562 dataids
     3         0 …s/src/sparsevector.jl   435 setindex!
     3         0 …vers/AdjointSolver.jl   299 assemble_adjoint_matrix(ni::Int64…
     3         2 …s/src/sparsematrix.jl  1265 sparse!(I::Vector{Int64}, J::Vect…
     3         0 …vers/AdjointSolver.jl   284 assemble_adjoint_matrix(ni::Int64…
     3         0 …solvers/DHCPSolver.jl   172 build_dhcp_system!(T_initial::Arr…
     3         0 …s/src/sparsematrix.jl  1223 sparse!(I::Vector{Int64}, J::Vect…
     3         0 …solvers/DHCPSolver.jl   164 build_dhcp_system!(T_initial::Arr…
     3         0 …solvers/DHCPSolver.jl   125 build_dhcp_system!(T_initial::Arr…
     3         0 …s/src/sparsematrix.jl  1268 sparse!(I::Vector{Int64}, J::Vect…
     3         3 …/ThermalProperties.jl     ? thermal_properties_calculator(Tem…
     3         1 …s/src/sparsematrix.jl  4287 diag(A::SparseArrays.SparseMatrix…
     4         4 @Base/array.jl             ? push!
     4         4 @Base/array.jl          1113 _growend!
     4         0 …olvers/src/history.jl   136 push!(ch::IterativeSolvers.Conver…
     4         3 …olvers/src/history.jl   139 push_custom_data!(ch::IterativeSo…
     4         0 …s/src/sparsevector.jl   988 getindex
     4         0 …vers/AdjointSolver.jl   285 assemble_adjoint_matrix(ni::Int64…
