threads,basesize,cgm_time,total_time,solver,precond
2,400,20.36,22.35,pbicgstab,gs
2,500,19.25,22.17,pbicgstab,gs
2,600,18.85,21.26,pbicgstab,gs
2,1000,18.37,20.97,pbicgstab,gs
2,2000,27.81,30.13,pbicgstab,gs
2,5000,27.78,30.42,pbicgstab,gs
4,400,12.47,15.3,pbicgstab,gs
4,500,12.02,14.24,pbicgstab,gs
4,600,11.86,14.01,pbicgstab,gs
4,1000,16.6,18.52,pbicgstab,gs
4,2000,26.4,28.31,pbicgstab,gs
4,5000,26.33,28.28,pbicgstab,gs
8,400,13.14,15.4,pbicgstab,gs
8,500,12.43,14.37,pbicgstab,gs
8,600,12.15,14.06,pbicgstab,gs
8,1000,17.23,19.33,pbicgstab,gs
8,2000,27.0,29.51,pbicgstab,gs
8,5000,26.8,28.94,pbicgstab,gs
